"","NZDT","Serial.Number","GPS.Heading","GPS.Speed","Heading","Latitude","Longitude","corrected_Heading","variation"
"1",2020-10-16 17:27:15,"002-0009-00281",11,0.938258182,373.4618058,-37.5534473,175.4591806,13.4618058,2.46180579999998
"2",2020-10-16 17:27:14,"002-0009-00281",3,1.627387463,364.9354114,-37.5534555,175.4591781,4.93541140000002,1.93541140000002
"3",2020-10-16 17:27:13,"002-0009-00281",359,1.680147078,342.9403204,-37.5534701,175.4591769,342.9403204,16.0596796
"4",2020-10-16 17:27:12,"002-0009-00281",6,0.614859499,351.1690823,-37.5534852,175.4591774,351.1690823,14.8309177
"5",2020-10-16 17:27:10,"002-0009-00281",3,1.594697853,345.6526912,-37.5534962,175.459176,345.6526912,17.3473088
"6",2020-10-16 17:27:09,"002-0009-00281",2,1.21559661,344.0289886,-37.5535105,175.4591747,344.0289886,17.9710114
"7",2020-10-16 17:27:08,"002-0009-00281",1,0.78992803,346.3031928,-37.5535214,175.4591737,346.3031928,14.6968072
"8",2020-10-16 17:27:06,"002-0009-00281",1,1.668447498,345.8248931,-37.5535356,175.4591733,345.8248931,15.1751069
"9",2020-10-16 17:27:05,"002-0009-00281",358,1.061950136,338.2208764,-37.5535506,175.4591733,338.2208764,19.7791236
"10",2020-10-16 17:27:04,"002-0009-00281",4,1.549123879,360.8856885,-37.5535601,175.4591745,0.885688500000015,3.11431149999999
"11",2020-10-16 17:27:03,"002-0009-00281",3,0.769011401,348.9384403,-37.553574,175.4591734,348.9384403,14.0615597
"12",2020-10-16 17:27:01,"002-0009-00281",1,1.524255462,343.1905279,-37.5535878,175.4591723,343.1905279,17.8094721
"13",2020-10-16 17:27:00,"002-0009-00281",357,1.134680888,339.8015927,-37.5536015,175.4591719,339.8015927,17.1984073
"14",2020-10-16 17:26:59,"002-0009-00281",3,1.04855764,342.1938554,-37.5536117,175.4591721,342.1938554,20.8061446
"15",2020-10-16 17:26:58,"002-0009-00281",2,1.704091544,346.2568273,-37.5536211,175.4591712,346.2568273,15.7431727
"16",2020-10-16 17:26:57,"002-0009-00281",2,0.77549925,345.7965603,-37.5536364,175.4591702,345.7965603,16.2034397
"17",2020-10-16 17:26:55,"002-0009-00281",358,1.601709599,339.0482655,-37.5536503,175.4591688,339.0482655,18.9517345
"18",2020-10-16 17:26:54,"002-0009-00281",2,1.038176092,346.9272395,-37.5536647,175.4591688,346.9272395,15.0727605
"19",2020-10-16 17:26:53,"002-0009-00281",4,0.7725175,347.4327089,-37.553674,175.4591678,347.4327089,16.5672911
"20",2020-10-16 17:26:51,"002-0009-00281",4,1.017688462,348.3123018,-37.5536878,175.4591658,348.3123018,15.6876982
"21",2020-10-16 17:26:50,"002-0009-00281",3,1.02637663,353.7093507,-37.5536969,175.4591646,353.7093507,9.29064929999998
"22",2020-10-16 17:26:49,"002-0009-00281",0,1.590684044,347.1742658,-37.5537061,175.4591637,347.1742658,12.8257342
"23",2020-10-16 17:26:48,"002-0009-00281",355,1.093600891,336.1160721,-37.5537204,175.4591639,336.1160721,18.8839279
"24",2020-10-16 17:26:47,"002-0009-00281",356,0.802063337,344.1191788,-37.5537302,175.4591649,344.1191788,11.8808212
"25",2020-10-16 17:26:45,"002-0009-00281",0,1.079252519,346.0030935,-37.5537446,175.4591659,346.0030935,13.9969065
"26",2020-10-16 17:26:44,"002-0009-00281",6,0.993110571,356.1246268,-37.5537543,175.4591656,356.1246268,9.87537320000001
"27",2020-10-16 17:26:43,"002-0009-00281",8,1.682898296,355.2213542,-37.5537632,175.4591647,355.2213542,12.7786458
"28",2020-10-16 17:26:42,"002-0009-00281",7,0.793123679,351.68769,-37.5537782,175.4591622,351.68769,15.31231
"29",2020-10-16 17:26:40,"002-0009-00281",5,1.201853521,348.6987231,-37.5537923,175.4591595,348.6987231,16.3012769
"30",2020-10-16 17:26:39,"002-0009-00281",6,0.774849491,349.0672602,-37.553803,175.4591576,349.0672602,16.9327398
"31",2020-10-16 17:26:37,"002-0009-00281",359,1.223528166,340.8073587,-37.5538169,175.4591564,340.8073587,18.1926413
"32",2020-10-16 17:26:36,"002-0009-00281",3,1.731328127,344.8299421,-37.5538279,175.4591564,344.8299421,18.1700579
"33",2020-10-16 17:26:35,"002-0009-00281",8,1.764868188,350.1199551,-37.5538434,175.4591546,350.1199551,17.8800449
"34",2020-10-16 17:26:34,"002-0009-00281",2,0.651646499,351.4704853,-37.5538591,175.4591517,351.4704853,10.5295147
"35",2020-10-16 17:26:32,"002-0009-00281",358,1.123972974,344.8942915,-37.5538708,175.4591509,344.8942915,13.1057085
"36",2020-10-16 17:26:31,"002-0009-00281",354,1.753481907,336.8638166,-37.5538809,175.4591513,336.8638166,17.1361834
"37",2020-10-16 17:26:30,"002-0009-00281",357,1.737416784,344.9578448,-37.5538966,175.4591531,344.9578448,12.0421552
"38",2020-10-16 17:26:29,"002-0009-00281",357,0.529239244,338.7430069,-37.5539122,175.4591541,338.7430069,18.2569931
"39",2020-10-16 17:26:27,"002-0009-00281",355,1.287866758,341.5448298,-37.5539217,175.4591548,341.5448298,13.4551702
"40",2020-10-16 17:26:26,"002-0009-00281",0,2.014818156,346.1430058,-37.5539332,175.4591565,346.1430058,13.8569942
"41",2020-10-16 17:26:25,"002-0009-00281",7,1.174397212,346.6339123,-37.5539513,175.4591556,346.6339123,20.3660877
"42",2020-10-16 17:26:24,"002-0009-00281",8,1.182452163,351.5939931,-37.5539618,175.4591542,351.5939931,16.4060069
"43",2020-10-16 17:26:23,"002-0009-00281",10,2.029887613,352.4819726,-37.5539723,175.4591521,352.4819726,17.5180274
"44",2020-10-16 17:26:22,"002-0009-00281",8,0.645876289,352.2969461,-37.5539903,175.4591483,352.2969461,15.7030539
"45",2020-10-16 17:26:20,"002-0009-00281",5,1.251854872,349.7188461,-37.5540017,175.4591455,349.7188461,15.2811539
"46",2020-10-16 17:26:19,"002-0009-00281",2,1.168742285,349.9001748,-37.5540129,175.4591441,349.9001748,12.0998252
"47",2020-10-16 17:26:18,"002-0009-00281",5,1.986221095,349.6503121,-37.5540234,175.4591436,349.6503121,15.3496879
"48",2020-10-16 17:26:17,"002-0009-00281",358,0.928862961,342.3841694,-37.5540412,175.4591418,342.3841694,15.6158306
"49",2020-10-16 17:26:15,"002-0009-00281",1,1.157326016,341.6434376,-37.5540579,175.4591415,341.6434376,19.3565624
"50",2020-10-16 17:26:14,"002-0009-00281",3,1.981475441,344.0291041,-37.5540683,175.4591411,344.0291041,18.9708959
"51",2020-10-16 17:26:13,"002-0009-00281",2,1.179561878,344.134381,-37.5540861,175.4591402,344.134381,17.865619
"52",2020-10-16 17:26:12,"002-0009-00281",359,1.156823757,340.080186,-37.5540967,175.4591398,340.080186,18.919814
"53",2020-10-16 17:26:11,"002-0009-00281",359,1.991325336,342.6558327,-37.5541071,175.4591399,342.6558327,16.3441673
"54",2020-10-16 17:26:10,"002-0009-00281",2,0.667741732,344.4145249,-37.554125,175.4591403,344.4145249,17.5854751
"55",2020-10-16 17:26:08,"002-0009-00281",0,1.790886852,339.3765914,-37.554137,175.4591398,339.3765914,20.6234086
"56",2020-10-16 17:26:07,"002-0009-00281",355,1.254729776,339.7505085,-37.5541531,175.45914,339.7505085,15.2494915
"57",2020-10-16 17:26:06,"002-0009-00281",356,0.59032264,342.3450699,-37.5541643,175.4591417,342.3450699,13.6549301
"58",2020-10-16 17:26:04,"002-0009-00281",356,1.125109902,338.0819842,-37.5541749,175.4591424,338.0819842,17.9180158
"59",2020-10-16 17:26:03,"002-0009-00281",353,1.865052507,336.5130923,-37.554185,175.4591431,336.5130923,16.4869077
"60",2020-10-16 17:26:02,"002-0009-00281",358,1.814093067,339.4572592,-37.5542017,175.459145,339.4572592,18.5427408
"61",2020-10-16 17:26:01,"002-0009-00281",358,1.201572428,341.695817,-37.554218,175.4591457,341.695817,16.304183
"62",2020-10-16 17:26:00,"002-0009-00281",356,1.338931275,341.3419623,-37.5542288,175.459146,341.3419623,14.6580377
"63",2020-10-16 17:25:59,"002-0009-00281",354,1.262095702,341.1803066,-37.5542408,175.4591472,341.1803066,12.8196934
